"name","title","gender","age","culture","dateOfBirth","house","father","mother","heir","spouse","book1","book2","book3","book4","book5","isAliveMother","isAliveFather","isAliveHeir","isAliveSpouse","isMarried","isNoble","numDeadRelations","popularity","deadOrAlive"
"Viserys II Targaryen","","male",NA,"",NA,"","Daemon Targaryen","Rhaenyra Targaryen","Aegon IV Targaryen","",0,0,0,0,0,1,0,0,NA,0,0,11,0.605351170568561,"dead"
"Walder Frey","Lord of the Crossing","male",97,"Rivermen",208,"House Frey","","","","Perra Royce",1,1,1,1,1,NA,NA,NA,1,1,1,1,0.896321070234113,"alive"
"Addison Hill","Ser","male",NA,"",NA,"House Swyft","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.267558528428093,"alive"
"Aemma Arryn","Queen","female",23,"",82,"House Arryn","","","","Viserys I Targaryen",0,0,0,0,0,NA,NA,NA,0,1,1,0,0.183946488294314,"dead"
"Sylva Santagar","Greenstone","female",29,"Dornish",276,"House Santagar","","","","Eldon Estermont",0,0,0,1,0,NA,NA,NA,1,1,1,0,0.0434782608695652,"alive"
"Tommen Baratheon","","male",NA,"",NA,"","Robert Baratheon","Cersei Lannister","Myrcella Baratheon","",0,0,0,0,0,1,1,1,NA,0,0,5,1,"alive"
"Valarr Targaryen","Hand of the King","male",26,"Valyrian",183,"House Targaryen","","","","Kiera of Tyrosh",0,0,0,0,0,NA,NA,NA,1,1,1,0,0.431438127090301,"dead"
"Viserys I Targaryen","","male",NA,"",NA,"","Baelon Targaryen","Alyssa Targaryen","Rhaenyra Targaryen","",0,0,0,0,0,1,1,1,NA,0,0,5,0.678929765886287,"dead"
"Wilbert","Ser","male",NA,"",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,1,0,0.00668896321070234,"dead"
"Wilbert Osgrey","Ser","male",NA,"",NA,"House Osgrey","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.020066889632107,"alive"
"Will","","male",NA,"",NA,"Night's Watch","","","","",1,1,0,0,0,NA,NA,NA,NA,0,0,0,0.163879598662207,"dead"
"Will (orphan)","","female",NA,"",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Will (squire)","","male",NA,"",NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Will (Standfast)","","female",NA,"",NA,"House Osgrey","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Will (Treb)","","male",NA,"",NA,"House Osgrey","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Will Humble","","male",NA,"Ironborn",NA,"House Humble","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Willam","","male",NA,"",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0133779264214046,"alive"
"Willem Wylde","Ser","male",NA,"",NA,"House Wylde","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.020066889632107,"alive"
"Willifer","Archmaester","female",NA,"",NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,0,0.00668896321070234,"alive"
"Willit","","male",NA,"",NA,"House Swyft","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.0100334448160535,"alive"
"Willis Wode","Ser","male",NA,"",NA,"House Wode","","","","",1,0,0,1,0,NA,NA,NA,NA,0,1,0,0.020066889632107,"alive"
"Willis Fell","Ser","female",NA,"",NA,"House Fell","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,0,0.0234113712374581,"alive"
"Willow Heddle","","female",16,"",289,"Brotherhood Without Banners","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,0,0.0334448160535117,"alive"
"Willum","Ser","male",NA,"",NA,"","","","","",1,0,0,0,0,NA,NA,NA,NA,0,1,0,0,"alive"
"Wolmer","","male",NA,"",NA,"House Webber","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.00334448160535117,"alive"
"Willow Witch-eye","","female",NA,"Free Folk",NA,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0.0501672240802675,"dead"
"Woth","","male",NA,"",NA,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,0,0.0301003344481605,"dead"
"Wulfe","","male",NA,"Ironborn",NA,"House Greyjoy","","","","",0,0,0,1,1,NA,NA,NA,NA,0,0,0,0.0234113712374581,"alive"
"Wyl the Whittler","","female",NA,"",NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,0,0.00668896321070234,"alive"
"Wyl (guard)","","female",NA,"Northmen",NA,"House Stark","","","","",1,0,0,0,0,NA,NA,NA,NA,0,0,0,0.0267558528428093,"dead"
